iteration,best_cost,delta_since_prev_record
10,63366.127765,0.000000
20,52827.599831,10538.527935
30,45144.708612,7682.891219
40,40052.463101,5092.245510
50,36338.751295,3713.711806
60,33324.950499,3013.800797
70,30759.018900,2565.931599
80,27864.467364,2894.551536
90,27717.862168,146.605196
100,26192.758900,1525.103268
110,25674.265181,518.493719
120,23369.212783,2305.052398
130,23369.212783,0.000000
140,23369.212783,0.000000
150,23369.212783,0.000000
160,23369.212783,0.000000
170,23369.212783,0.000000
180,23369.212783,0.000000
190,23369.212783,0.000000
200,23260.228119,108.984664
210,23215.376659,44.851460
220,23166.897209,48.479449
230,23166.897209,0.000000
240,22978.715400,188.181809
250,22978.715400,0.000000
260,22978.715400,0.000000
270,22978.715400,0.000000
280,22978.715400,0.000000
290,22978.715400,0.000000
300,22978.715400,0.000000
310,22978.715400,0.000000
320,22978.715400,0.000000
330,22978.715400,0.000000
340,22978.715400,0.000000
350,22978.715400,0.000000
360,22978.715400,0.000000
370,22978.715400,0.000000
380,22978.715400,0.000000
390,22978.715400,0.000000
400,22978.715400,0.000000
410,22978.715400,0.000000
420,22978.715400,0.000000
430,22978.715400,0.000000
440,22978.715400,0.000000
450,22978.715400,0.000000
460,22978.715400,0.000000
470,22978.715400,0.000000
480,22978.715400,0.000000
490,22978.715400,0.000000
500,22978.715400,0.000000
510,22978.715400,0.000000
520,22978.715400,0.000000
530,22024.377597,954.337803
540,22024.377597,0.000000
550,22024.377597,0.000000
560,22024.377597,0.000000
570,22024.377597,0.000000
580,22024.377597,0.000000
590,22024.377597,0.000000
600,22024.377597,0.000000
610,22024.377597,0.000000
620,22024.377597,0.000000
630,22024.377597,0.000000
640,22024.377597,0.000000
650,22024.377597,0.000000
660,22024.377597,0.000000
670,22024.377597,0.000000
680,22024.377597,0.000000
690,22024.377597,0.000000
700,22024.377597,0.000000
710,22024.377597,0.000000
720,22024.377597,0.000000
730,22024.377597,0.000000
740,22024.377597,0.000000
750,22024.377597,0.000000
760,22024.377597,0.000000
770,22016.084136,8.293461
780,22016.084136,0.000000
790,22016.084136,0.000000
800,22016.084136,0.000000
810,22016.084136,0.000000
820,22016.084136,0.000000
830,22016.084136,0.000000
840,22016.084136,0.000000
850,22016.084136,0.000000
860,22016.084136,0.000000
870,22016.084136,0.000000
880,22016.084136,0.000000
890,22016.084136,0.000000
900,22016.084136,0.000000
910,22016.084136,0.000000
920,22016.084136,0.000000
930,22016.084136,0.000000
940,22016.084136,0.000000
950,22016.084136,0.000000
960,22016.084136,0.000000
970,22016.084136,0.000000
980,22016.084136,0.000000
990,22016.084136,0.000000
1000,22016.084136,0.000000
1010,22016.084136,0.000000
1020,22016.084136,0.000000
1030,22016.084136,0.000000
1040,22016.084136,0.000000
1050,22016.084136,0.000000
1060,22016.084136,0.000000
1070,22016.084136,0.000000
1080,22016.084136,0.000000
1090,22016.084136,0.000000
1100,22016.084136,0.000000
1110,22016.084136,0.000000
1120,22016.084136,0.000000
1130,22016.084136,0.000000
1140,22016.084136,0.000000
1150,22016.084136,0.000000
1160,22016.084136,0.000000
1170,22016.084136,0.000000
1180,22016.084136,0.000000
1190,22016.084136,0.000000
1200,22016.084136,0.000000
1210,22016.084136,0.000000
1220,22016.084136,0.000000
1230,22016.084136,0.000000
1240,22016.084136,0.000000
1250,22016.084136,0.000000
1260,22016.084136,0.000000
1270,22016.084136,0.000000
1280,22016.084136,0.000000
1290,22016.084136,0.000000
1300,22016.084136,0.000000
1310,22016.084136,0.000000
1320,22016.084136,0.000000
1330,22016.084136,0.000000
1340,22016.084136,0.000000
1350,22016.084136,0.000000
1360,22016.084136,0.000000
1370,22016.084136,0.000000
1380,22016.084136,0.000000
1390,22016.084136,0.000000
1400,22016.084136,0.000000
1410,22016.084136,0.000000
1420,22016.084136,0.000000
1430,22016.084136,0.000000
1440,22016.084136,0.000000
1450,22016.084136,0.000000
1460,22016.084136,0.000000
1470,22016.084136,0.000000
1480,22016.084136,0.000000
1490,22016.084136,0.000000
1500,22016.084136,0.000000
